Catégorie,Manifeste IIIF,OCR-relu,Contributeur,Source,Ville,Lieu d'exposition (section unique),Titre de l’exposition,Année début,Mois début,Jour début,Année fin,Mois fin,Jour fin,Pays d'aujourd'hui,(État d'aujourd'hui),,Pays d’époque,Ville d’époque,,adresse complète de la section telle que dans le catalogue,numéro de rue de la section,Rue de la section,étage de la section,lieu dit de la section,complément d’adresse de la section
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1181804b/manifest.json,,,ark:/12148/bpt6k1181804b,Rouen,Musée de Rouen,"Catalogue de la trente-unième exposition municipale des beaux-arts ouverte au musée de Rouen

",1888,octobre ,1,1888,novembre ,30,France ,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1181805r/manifest.json,,,ark:/12148/bpt6k1181805r,Rouen,Musée de Rouen,"Catalogue de la trente-deuxième exposition municipale des beaux-arts ouverte au musée de Rouen

",1891,octobre ,1,1981,novembre ,30,France ,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1180628r/manifest.json,,,ark:/12148/bpt6k1180628r,Rouen,Musée de Rouen,"Catalogue de la trente-troisième exposition municipale des beaux-arts ouverte au musée de Rouen

",1893,septembre ,30,1893,novembre ,30,France ,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k11806295/manifest.json,,,ark:/12148/bpt6k11806295,Rouen,Musée de Rouen,"Catalogue de la trente-quatrième exposition municipale des beaux-arts ouverte au musée de Rouen

",1895,octobre ,1,1895,novembre ,30,France ,,,,,,,,,,,
,,,,,,Catalogues illustrés du Salon de Paris,,,,,,,,,,,,,,,,,,,
3,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k213576p/manifest.json,,,ark:/12148/bpt6k213576p,Paris ,Salon ,Catalogue illustré du Salon contenant cent douze fac-similés d'après les dessins originaux des artistes ,1879,,,,,,,,,,,,,,,,,
3,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k213779f/manifest.json,,,ark:/12148/bpt6k213779f,Paris ,Salon ,Catalogue illustré du Salon contenant deux cents reproductions d'après les dessins originaux des artistes (Sections de Peinture et de Sculpture),1880,,,,,,,,,,,,,,,,,
3,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k3045423m/manifest.json,,,ark:/12148/bpt6k3045423m,Paris ,Salon ,Catalogue illustré du Salon contenant environ 380 reproductions d'après les dessins originaux des artistes ,1881,,,,,,,,,,,,,,,,,
3,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k2135725/manifest.json,,,ark:/12148/bpt6k2135725,Paris ,Salon ,Catalogue illustré du Salon contenant environ 400 reproductions d'après les dessins originaux des artistes ,1882,,,,,,,,,,,,,,,,,
3,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k202494s/manifest.json,,,ark:/12148/bpt6k202494s,Paris ,Salon ,Catalogue illustré du Salon contenant environ 300 reproductions d'après les dessins originaux des artistes ,1883,,,,,,,,,,,,,,,,,
